fecha,Energia
2004-10-01,254046
2004-10-02,318280
2004-10-03,293620
2004-10-04,333971
2004-10-05,347423
2004-10-06,347392
2004-10-07,345767
2004-10-08,346574
2004-10-09,316377
2004-10-10,294234
2004-10-11,334600
2004-10-12,350135
2004-10-13,346924
2004-10-14,347678
2004-10-15,349669
2004-10-16,331313
2004-10-17,315488
2004-10-18,359224
2004-10-19,359019
2004-10-20,349054
2004-10-21,345577
2004-10-22,346405
2004-10-23,322619
2004-10-24,299515
2004-10-25,338443
2004-10-26,351095
2004-10-27,347715
2004-10-28,345087
2004-10-29,343618
2004-10-30,316771
2004-10-31,283428
2004-11-01,334364
2004-11-02,349216
2004-11-03,350551
2004-11-04,358972
2004-11-05,360374
2004-11-06,342040
2004-11-07,310534
2004-11-08,348778
2004-11-09,389028
2004-11-10,389473
2004-11-11,374823
2004-11-12,375301
2004-11-13,351331
2004-11-14,344983
2004-11-15,380353
2004-11-16,381070
2004-11-17,370384
2004-11-18,364025
2004-11-19,358041
2004-11-20,326020
2004-11-21,308507
2004-11-22,349416
2004-11-23,358737
2004-11-24,358240
2004-11-25,324751
2004-11-26,342727
2004-11-27,339188
2004-11-28,334242
2004-11-29,389834
2004-11-30,392902
2004-12-01,385202
2004-12-02,407085
2004-12-03,400473
2004-12-04,381621
2004-12-05,350441
2004-12-06,377989
2004-12-07,372853
2004-12-08,370336
2004-12-09,395896
2004-12-10,379946
2004-12-11,370254
2004-12-12,367503
2004-12-13,407855
2004-12-14,447946
2004-12-15,450574
2004-12-16,448213
2004-12-17,419014
2004-12-18,405215
2004-12-19,395536
2004-12-20,495289
2004-12-21,463358
2004-12-22,418208
2004-12-23,394912
2004-12-24,398033
2004-12-25,397907
2004-12-26,379267
2004-12-27,430700
2004-12-28,442654
2004-12-29,396865
2004-12-30,370674
2004-12-31,346848
2005-01-01,313052
2005-01-02,319702
2005-01-03,355707
2005-01-04,371457
2005-01-05,388083
2005-01-06,375413
2005-01-07,390648
2005-01-08,368156
2005-01-09,349862
2005-01-10,383022
2005-01-11,395327
2005-01-12,373940
2005-01-13,358066
2005-01-14,391686
2005-01-15,402214
2005-01-16,393913
2005-01-17,465169
2005-01-18,499561
2005-01-19,487284
2005-01-20,447055
2005-01-21,454607
2005-01-22,440704
2005-01-23,456685
2005-01-24,497811
2005-01-25,448777
2005-01-26,422158
2005-01-27,448897
2005-01-28,474895
2005-01-29,430355
2005-01-30,388827
2005-01-31,421263
2005-02-01,425814
2005-02-02,437883
2005-02-03,412802
2005-02-04,414629
2005-02-05,382111
2005-02-06,352272
2005-02-07,376797
2005-02-08,382846
2005-02-09,382498
2005-02-10,414783
2005-02-11,447034
2005-02-12,389282
2005-02-13,359547
2005-02-14,383187
2005-02-15,379967
2005-02-16,380832
2005-02-17,415115
2005-02-18,434605
2005-02-19,407328
2005-02-20,369066
2005-02-21,379597
2005-02-22,386055
2005-02-23,390164
2005-02-24,414341
2005-02-25,420574
2005-02-26,383017
2005-02-27,366348
2005-02-28,397945
2005-03-01,434556
2005-03-02,448169
2005-03-03,438039
2005-03-04,431936
2005-03-05,375984
2005-03-06,348357
2005-03-07,362378
2005-03-08,403796
2005-03-09,434336
2005-03-10,423001
2005-03-11,410115
2005-03-12,388984
2005-03-13,358170
2005-03-14,393980
2005-03-15,399998
2005-03-16,398972
2005-03-17,397465
2005-03-18,387154
2005-03-19,355121
2005-03-20,334608
2005-03-21,374592
2005-03-22,384701
2005-03-23,378193
2005-03-24,385408
2005-03-25,362952
2005-03-26,332076
2005-03-27,315677
2005-03-28,350760
2005-03-29,362744
2005-03-30,351491
2005-03-31,340075
2005-04-01,347446
2005-04-02,346920
2005-04-03,325007
2005-04-04,347524
2005-04-05,346334
2005-04-06,337384
2005-04-07,338827
2005-04-08,338807
2005-04-09,310732
2005-04-10,287064
2005-04-11,321700
2005-04-12,334258
2005-04-13,346668
2005-04-14,349570
2005-04-15,341634
2005-04-16,315077
2005-04-17,295497
2005-04-18,329450
2005-04-19,344866
2005-04-20,347214
2005-04-21,338556
2005-04-22,340818
2005-04-23,331851
2005-04-24,351514
2005-04-25,363957
2005-04-26,349808
2005-04-27,348728
2005-04-28,352478
2005-04-29,348291
2005-04-30,319608
2005-05-01,300637
2005-05-02,343896
2005-05-03,364144
2005-05-04,358402
2005-05-05,348903
2005-05-06,341598
2005-05-07,311069
2005-05-08,287470
2005-05-09,331340
2005-05-10,352914
2005-05-11,363200
2005-05-12,354401
2005-05-13,346464
2005-05-14,318662
2005-05-15,287932
2005-05-16,324354
2005-05-17,341502
2005-05-18,340974
2005-05-19,344455
2005-05-20,339674
2005-05-21,306850
2005-05-22,287230
2005-05-23,326598
2005-05-24,337627
2005-05-25,337256
2005-05-26,342151
2005-05-27,338888
2005-05-28,298817
2005-05-29,279006
2005-05-30,282150
2005-05-31,332062
2005-06-01,347945
2005-06-02,345565
2005-06-03,345905
2005-06-04,337389
2005-06-05,349513
2005-06-06,404837
2005-06-07,419013
2005-06-08,430367
2005-06-09,429953
2005-06-10,441425
2005-06-11,395711
2005-06-12,361735
2005-06-13,411208
2005-06-14,431802
2005-06-15,396731
2005-06-16,367477
2005-06-17,353321
2005-06-18,320116
2005-06-19,305149
2005-06-20,350899
2005-06-21,379855
2005-06-22,398223
2005-06-23,399125
2005-06-24,417929
2005-06-25,409766
2005-06-26,391136
2005-06-27,439581
2005-06-28,439755
2005-06-29,430236
2005-06-30,434088
2005-07-01,410213
2005-07-02,350446
2005-07-03,328522
2005-07-04,357453
2005-07-05,385374
2005-07-06,387667
2005-07-07,379876
2005-07-08,374944
2005-07-09,358467
2005-07-10,355312
2005-07-11,404655
2005-07-12,442727
2005-07-13,432308
2005-07-14,414439
2005-07-15,425478
2005-07-16,407740
2005-07-17,382960
2005-07-18,436148
2005-07-19,447244
2005-07-20,441273
2005-07-21,456138
2005-07-22,449931
2005-07-23,413011
2005-07-24,386530
2005-07-25,463802
2005-07-26,469896
2005-07-27,450338
2005-07-28,395123
2005-07-29,397841
2005-07-30,375011
2005-07-31,367890
2005-08-01,422182
2005-08-02,454249
2005-08-03,463447
2005-08-04,463633
2005-08-05,448021
2005-08-06,392406
2005-08-07,368160
2005-08-08,415568
2005-08-09,431424
2005-08-10,447830
2005-08-11,446906
2005-08-12,455137
2005-08-13,439761
2005-08-14,391398
2005-08-15,412090
2005-08-16,413994
2005-08-17,411654
2005-08-18,419627
2005-08-19,433687
2005-08-20,426603
2005-08-21,394743
2005-08-22,395624
2005-08-23,386023
2005-08-24,379418
2005-08-25,394012
2005-08-26,402527
2005-08-27,369816
2005-08-28,356970
2005-08-29,396720
2005-08-30,400613
2005-08-31,402309
2005-09-01,393144
2005-09-02,393535
2005-09-03,342233
2005-09-04,316217
2005-09-05,311779
2005-09-06,363923
2005-09-07,382731
2005-09-08,388100
2005-09-09,394511
2005-09-10,370389
2005-09-11,348709
2005-09-12,389514
2005-09-13,406914
2005-09-14,408401
2005-09-15,402455
2005-09-16,397069
2005-09-17,343907
2005-09-18,323077
2005-09-19,365151
2005-09-20,388001
2005-09-21,379076
2005-09-22,390208
2005-09-23,397189
2005-09-24,348008
2005-09-25,338376
2005-09-26,372954
2005-09-27,362321
2005-09-28,355777
2005-09-29,356396
2005-09-30,337465
2005-10-01,310935
2005-10-02,307968
2005-10-03,365887
2005-10-04,379464
2005-10-05,378818
2005-10-06,378257
2005-10-07,361193
2005-10-08,319639
2005-10-09,296601
2005-10-10,333570
2005-10-11,346259
2005-10-12,347615
2005-10-13,347211
2005-10-14,345036
2005-10-15,312818
2005-10-16,290885
2005-10-17,332366
2005-10-18,345481
2005-10-19,345962
2005-10-20,348808
2005-10-21,351957
2005-10-22,322508
2005-10-23,309110
2005-10-24,351406
2005-10-25,384220
2005-10-26,378463
2005-10-27,381186
2005-10-28,374798
2005-10-29,356124
2005-10-30,319023
2005-10-31,355900
2005-11-01,360717
2005-11-02,359458
2005-11-03,366482
2005-11-04,355437
2005-11-05,321363
2005-11-06,297402
2005-11-07,342261
2005-11-08,360477
2005-11-09,352461
2005-11-10,358070
2005-11-11,380818
2005-11-12,347697
2005-11-13,317425
2005-11-14,344259
2005-11-15,358052
2005-11-16,361286
2005-11-17,407826
2005-11-18,429338
2005-11-19,384941
2005-11-20,338880
2005-11-21,372152
2005-11-22,397077
2005-11-23,423190
